,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,2018-04-23 20:18:48.148303,0.229232660634,-0.046180171546,0.0,0.0,0.0,-0.0924397470911,0.995718280016
0,2018-04-23 20:18:48.351449,0.251348924426,-0.0508901476967,0.0,0.0,0.0,-0.0801429457225,0.996783380806
0,2018-04-23 20:18:48.549400,0.273670683792,-0.0545029109466,0.0,0.0,0.0,-0.0801429457225,0.996783380806
0,2018-04-23 20:18:48.750333,0.301452912953,-0.0597062084123,0.0,0.0,0.0,-0.0678339349157,0.997696625871
0,2018-04-23 20:18:48.950588,0.323857046372,-0.0627668954668,0.0,0.0,0.0,-0.0678339349157,0.997696625871
0,2018-04-23 20:18:49.160169,0.343426115097,-0.065686752389,0.0,0.0,0.0,-0.0616754369161,0.998096258124
0,2018-04-23 20:18:49.360871,0.363029731838,-0.0683648535616,0.0,0.0,0.0,-0.0555145898963,0.998457876081
0,2018-04-23 20:18:49.562155,0.388274960989,-0.0714967731092,0.0,0.0,0.0,-0.0493516285032,0.998781465969
0,2018-04-23 20:18:49.762130,0.410777044239,-0.0737259543289,0.0,0.0,0.0,-0.0493516285032,0.998781465969
0,2018-04-23 20:18:49.971066,0.433279127488,-0.0759551355485,0.0,0.0,0.0,-0.0493516285032,0.998781465969
0,2018-04-23 20:18:50.180938,0.46140673155,-0.0787416120731,0.0,0.0,0.0,-0.0493516285032,0.998781465969
0,2018-04-23 20:18:50.388864,0.486688693753,-0.0815617010972,0.0,0.0,0.0,-0.0431867874643,0.999067015464
0,2018-04-23 20:18:50.601565,0.514848547641,-0.0840007973894,0.0,0.0,0.0,-0.0431867874643,0.999067015464
0,2018-04-23 20:18:50.798299,0.537321402933,-0.0865075431887,0.0,0.0,0.0,-0.0308524057082,0.99952395122
0,2018-04-23 20:18:51.011824,0.562729165029,-0.0877629874263,0.0,0.0,0.0,-0.0370203015787,0.99931451369
0,2018-04-23 20:18:51.220868,0.58244106275,-0.0894703548308,0.0,0.0,0.0,-0.0308524057082,0.99952395122
0,2018-04-23 20:18:51.429737,0.60781009506,-0.0913525648573,0.0,0.0,0.0,-0.0246833347681,0.999695320077
0,2018-04-23 20:18:51.629628,0.633153963559,-0.0935477515202,0.0,0.0,0.0,-0.00617142130288,0.999980956598
0,2018-04-23 20:18:51.839302,0.65858497297,-0.0941756649517,0.0,0.0,0.0,6.07153216592e-18,1.0
0,2018-04-23 20:18:52.039774,0.681197204162,-0.0941756649517,0.0,0.0,0.0,6.07153216592e-18,1.0
0,2018-04-23 20:18:52.252469,0.712286653698,-0.0945594190581,0.0,0.0,0.0,0.00617142130288,0.999980956598
0,2018-04-23 20:18:52.449718,0.737725413789,-0.0945594190581,0.0,0.0,0.0,0.012342607556,0.999923827118
0,2018-04-23 20:18:52.650485,0.765982090912,-0.0938617374676,0.0,0.0,0.0,0.012342607556,0.999923827118
0,2018-04-23 20:18:52.862265,0.79141891326,-0.0935477568351,0.0,0.0,0.0,0.0185133237187,0.999828613736
0,2018-04-23 20:18:53.060039,0.825314009485,-0.092292089408,0.0,0.0,0.0,0.0185133237187,0.999828613736
0,2018-04-23 20:18:53.259999,0.856367940936,-0.090757657562,0.0,0.0,0.0,0.012342607556,0.999923827118
0,2018-04-23 20:18:53.460759,0.884624618059,-0.0900599759716,0.0,0.0,0.0,0.012342607556,0.999923827118
0,2018-04-23 20:18:53.661949,0.924183966033,-0.0890832217449,0.0,0.0,0.0,0.012342607556,0.999923827118
