,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,2018-04-19 14:17:41.468416,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:41.665699,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:41.854780,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:42.054876,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:42.266641,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:42.472619,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:42.681646,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:42.882552,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:43.083186,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:43.284813,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:43.493013,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:43.701800,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:43.914692,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:44.123860,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:44.324214,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:44.533115,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:44.733727,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:44.934698,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:45.144399,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:45.351871,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:45.561211,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:45.762097,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:45.974782,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:46.171688,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:46.384733,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:46.593805,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:46.794076,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:47.003128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:47.203703,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:47.412329,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:47.613403,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:47.814167,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:48.022763,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:48.223489,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:48.433194,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:48.641589,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2018-04-19 14:17:48.853988,0.0352961580606,0.00181742487406,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:49.054982,0.0823577021414,-0.000605808291352,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:49.251456,0.152950018263,-0.00424065803946,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:49.460119,0.234980694054,-0.0127107531902,0.0,0.0,0.0,-6.93889390391e-18,1.0
0,2018-04-19 14:17:49.669485,0.282104583858,-0.0127107531902,0.0,0.0,0.0,-6.93889390391e-18,1.0
0,2018-04-19 14:17:49.877667,0.340931513959,-0.00968171173345,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:50.090389,0.410777165469,-0.0205478146734,0.0,0.0,0.0,0.0257198107821,0.999669190949
0,2018-04-19 14:17:50.299748,0.457340933143,-0.0133037460468,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:50.500332,0.503904700817,-0.0205478146734,0.0,0.0,0.0,0.0257198107821,0.999669190949
0,2018-04-19 14:17:50.709141,0.527186584654,-0.0169257803601,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:50.909959,0.550717356694,-0.0181373969428,0.0,0.0,0.0,-0.0257198107821,0.999669190949
0,2018-04-19 14:17:51.118861,0.573999240531,-0.0217594312561,0.0,0.0,0.0,0.0257198107821,0.999669190949
0,2018-04-19 14:17:51.319275,0.597530012572,-0.0205478146734,0.0,0.0,0.0,0.0257198107821,0.999669190949
0,2018-04-19 14:17:51.520267,0.597530012572,-0.0205478146734,0.0,0.0,0.0,0.0257198107821,0.999669190949
