,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
0,2018-04-18 19:24:06.730662,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:06.942477,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:07.144598,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:07.345763,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:07.541479,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:07.754718,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:07.963671,17.8613390442,13.1064928479,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:08.173375,17.8577985784,13.0952564599,0.0,0.0,0.0,-0.835732034462,0.549137475114
0,2018-04-18 19:24:08.385439,17.8297436486,13.0303765082,0.0,0.0,0.0,-0.835732034462,0.549137475114
0,2018-04-18 19:24:08.594406,17.8110403621,12.987123207,0.0,0.0,0.0,-0.835732034462,0.549137475114
0,2018-04-18 19:24:08.794933,17.773633789,12.9006166046,0.0,0.0,0.0,-0.835732034462,0.549137475114
0,2018-04-18 19:24:09.004424,17.7448386864,12.8233403705,0.0,0.0,0.0,-0.849579278694,0.527460945676
0,2018-04-18 19:24:09.207433,17.7027562918,12.7260204429,0.0,0.0,0.0,-0.862864425897,0.505435438529
0,2018-04-18 19:24:09.405351,17.6462136954,12.6363263458,0.0,0.0,0.0,-0.849579278694,0.527460945676
0,2018-04-18 19:24:09.614700,17.5730541083,12.4885062796,0.0,0.0,0.0,-0.849579278694,0.527460945676
0,2018-04-18 19:24:09.814766,17.4599689154,12.3091180855,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:10.015733,17.3776971938,12.0883288453,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:10.224941,17.3126216908,11.8374500422,0.0,0.0,0.0,-0.849579278694,0.527460945676
0,2018-04-18 19:24:10.425191,17.2144294366,11.6103702109,0.0,0.0,0.0,-0.862864425897,0.505435438529
0,2018-04-18 19:24:10.621792,17.0991950244,11.4048524379,0.0,0.0,0.0,-0.862864425897,0.505435438529
0,2018-04-18 19:24:10.835724,16.9963269485,11.1669592814,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:11.035719,16.8290505784,10.9537945095,0.0,0.0,0.0,-0.875578686377,0.483075526147
0,2018-04-18 19:24:11.240276,16.6965310044,10.7174490706,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:11.447481,16.552033258,10.4882308225,0.0,0.0,0.0,-0.899261282503,0.437411872028
0,2018-04-18 19:24:11.647925,16.4095130393,10.2860058096,0.0,0.0,0.0,-0.910213949314,0.414138342193
0,2018-04-18 19:24:11.855169,16.220067578,10.1091289821,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:12.055680,16.0571873281,9.87801468169,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:12.264452,15.8943070782,9.64690038129,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:12.473214,15.7314268283,9.41578608089,0.0,0.0,0.0,-0.887713648149,0.460396002252
0,2018-04-18 19:24:12.674249,15.5641504581,9.20262130901,0.0,0.0,0.0,-0.875578686377,0.483075526147
0,2018-04-18 19:24:12.883361,15.4080568853,8.98113677113,0.0,0.0,0.0,-0.862864425897,0.505435438529
0,2018-04-18 19:24:13.083744,15.2316032813,8.7307629457,0.0,0.0,0.0,-0.835732034462,0.549137475114
0,2018-04-18 19:24:13.292913,15.090509792,8.44568138959,0.0,0.0,0.0,-0.821331854788,0.570450685258
0,2018-04-18 19:24:13.505165,14.9234198943,8.14768061878,0.0,0.0,0.0,-0.774910768411,0.632070645578
0,2018-04-18 19:24:13.703865,14.8665960048,7.87070617731,0.0,0.0,0.0,-0.774910768411,0.632070645578
0,2018-04-18 19:24:13.916424,14.8050367911,7.5706505324,0.0,0.0,0.0,-0.774910768411,0.632070645578
